art_id,token
85,"[('바로', 'MAG'), ('시작', 'NNG')]"
85,"[('어떤', 'MM'), ('것', 'NNB'), ('을', 'JKO')]"
85,"[('추천', 'NNG'), ('하', 'XSV'), ('나요', 'EC')]"
86,"[('서울', 'NNP')]"
86,"[('도봉구', 'NNP')]"
86,"[('공유', 'NNP')]"
86,"[('사무실', 'NNG')]"
86,"[('Hot', 'SL')]"
86,"[('Desk', 'SL')]"
86,"[('구함', 'NNG')]"
87,"[('it', 'SL'), ('로', 'JKB')]"
87,"[('사업', 'NNG'), ('을', 'JKO')]"
87,"[('한다면', 'VV+EC')]"
87,"[('학벌', 'NNG'), ('이', 'JKS')]"
87,"[('중요', 'NNG'), ('한가요', 'XSA+EC')]"
88,"[('국비', 'NNG'), ('지원', 'NNG'), ('의', 'NNG')]"
